status,error,name,numbers,player1_model,player2_model,player1_choice,player2_choice,game_result,full_responses
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_0,"[64, 66, 6, 27, 30]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,6,6,1,"[{'role': 'player1', 'full_response': '<choice>6</choice>', 'extracted_choice': 6}, {'role': 'player2', 'full_response': '<choice>6</choice>', 'extracted_choice': 6}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_1,"[17, 74, 100, 18, 49]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,100,100,1,"[{'role': 'player1', 'full_response': '<choice>100</choice>', 'extracted_choice': 100}, {'role': 'player2', 'full_response': '<choice>100</choice>', 'extracted_choice': 100}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_2,"[27, 94, 75, 42, 10]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,42,42,1,"[{'role': 'player1', 'full_response': '<choice>42</choice>', 'extracted_choice': 42}, {'role': 'player2', 'full_response': '<choice>42</choice>', 'extracted_choice': 42}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_3,"[76, 64, 94, 9, 75]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,9,75,0,"[{'role': 'player1', 'full_response': '<choice>9</choice>', 'extracted_choice': 9}, {'role': 'player2', 'full_response': '<choice>75</choice>', 'extracted_choice': 75}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_4,"[18, 56, 38, 67, 39]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,38,38,1,"[{'role': 'player1', 'full_response': '<choice>38</choice>', 'extracted_choice': 38}, {'role': 'player2', 'full_response': '<choice>38</choice>', 'extracted_choice': 38}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_5,"[76, 66, 86, 32, 94]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,86,86,1,"[{'role': 'player1', 'full_response': '<choice>86</choice>', 'extracted_choice': 86}, {'role': 'player2', 'full_response': '<choice>86</choice>', 'extracted_choice': 86}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_6,"[80, 46, 13, 50, 7]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,7,50,0,"[{'role': 'player1', 'full_response': '<choice>7</choice>', 'extracted_choice': 7}, {'role': 'player2', 'full_response': '<choice>50</choice>', 'extracted_choice': 50}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_7,"[50, 79, 78, 69, 96]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,69,69,1,"[{'role': 'player1', 'full_response': '<choice>69</choice>', 'extracted_choice': 69}, {'role': 'player2', 'full_response': '<choice>69</choice>', 'extracted_choice': 69}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_8,"[85, 73, 26, 60, 23]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,73,73,1,"[{'role': 'player1', 'full_response': '<choice>73</choice>', 'extracted_choice': 73}, {'role': 'player2', 'full_response': '<choice>73</choice>', 'extracted_choice': 73}]"
success,,player1_openai-gpt-4o-2024-08-06_player2_openai-gpt-4o-2024-08-06_9,"[53, 90, 80, 74, 41]",openai/gpt-4o-2024-08-06,openai/gpt-4o-2024-08-06,90,90,1,"[{'role': 'player1', 'full_response': '<choice>90</choice>', 'extracted_choice': 90}, {'role': 'player2', 'full_response': '<choice>90</choice>', 'extracted_choice': 90}]"
